source_hero,vs_hero,block,vs_role,score,grade_raw
D.Mon,D.Va,상성,탱커,0.0,
D.Mon,도미나,상성,탱커,2.0,
D.Mon,둠피스트,상성,탱커,0.0,
D.Mon,해저드,상성,탱커,0.0,
D.Mon,정커퀸,상성,탱커,0.0,
D.Mon,마우가,상성,탱커,-2.0,
D.Mon,오리사,상성,탱커,1.5,
D.Mon,라마트라,상성,탱커,-0.5,
D.Mon,라인하르트,상성,탱커,0.0,
D.Mon,로드호그,상성,탱커,-2.0,
D.Mon,시그마,상성,탱커,3.0,
D.Mon,윈스턴,상성,탱커,3.0,
D.Mon,레킹볼,상성,탱커,0.0,
D.Mon,자리야,상성,탱커,2.0,
D.Mon,안란,상성,딜러,2.0,
D.Mon,애쉬,상성,딜러,-2.0,
D.Mon,바스티온,상성,딜러,-3.0,
D.Mon,캐서디,상성,딜러,2.0,
D.Mon,에코,상성,딜러,2.0,
D.Mon,엠레,상성,딜러,2.0,
D.Mon,프레야,상성,딜러,-0.5,
D.Mon,겐지,상성,딜러,2.0,
D.Mon,한조,상성,딜러,-1.0,
D.Mon,정크랫,상성,딜러,-3.0,
D.Mon,메이,상성,딜러,-3.0,
D.Mon,파라,상성,딜러,2.0,
D.Mon,리퍼,상성,딜러,-3,중립 (1대1) 매우 불리 (팀파이트) [v1.5 팀전 값 채택]
D.Mon,시온,상성,딜러,1.0,
D.Mon,시에라,상성,딜러,-1.0,
D.Mon,소전,상성,딜러,-0.5,
D.Mon,솔저: 76,상성,딜러,0.0,
D.Mon,솜브라,상성,딜러,0.0,
D.Mon,시메트라,상성,딜러,-2.5,
D.Mon,토르비욘,상성,딜러,0.0,
D.Mon,트레이서,상성,딜러,2.0,
D.Mon,벤데타,상성,딜러,0,유리 (1대1) 중립 (팀파이트) [v1.5 팀전 값 채택]
D.Mon,벤처,상성,딜러,2.0,
D.Mon,위도우메이커,상성,딜러,-2.0,
D.Mon,아나,상성,힐러,0.0,
D.Mon,바티스트,상성,힐러,-2.0,
D.Mon,브리기테,상성,힐러,3.0,
D.Mon,일리아리,상성,힐러,0.0,
D.Mon,제트팩 캣,상성,힐러,2.0,
D.Mon,주노,상성,힐러,1.0,
D.Mon,키리코,상성,힐러,-2.0,
D.Mon,라이프위버,상성,힐러,-3.0,
D.Mon,루시우,상성,힐러,0.0,
D.Mon,메르시,상성,힐러,2.0,
D.Mon,미즈키,상성,힐러,1.5,
D.Mon,모이라,상성,힐러,0.0,
D.Mon,우양,상성,힐러,2.0,
D.Mon,젠야타,상성,힐러,-3.0,
D.Va,D.Mon,상성,탱커,0.0,
D.Va,도미나,상성,탱커,-1.0,
D.Va,둠피스트,상성,탱커,0.0,
D.Va,해저드,상성,탱커,3.0,
D.Va,정커퀸,상성,탱커,-2.0,
D.Va,마우가,상성,탱커,2.5,
D.Va,오리사,상성,탱커,-1.0,
D.Va,라마트라,상성,탱커,-2.0,
D.Va,라인하르트,상성,탱커,1.0,
D.Va,로드호그,상성,탱커,0.0,
D.Va,시그마,상성,탱커,0.0,
D.Va,윈스턴,상성,탱커,2.0,
D.Va,레킹볼,상성,탱커,0.0,
D.Va,자리야,상성,탱커,-3.0,
D.Va,안란,상성,딜러,-3.0,
D.Va,애쉬,상성,딜러,3.0,
D.Va,바스티온,상성,딜러,0.0,
D.Va,캐서디,상성,딜러,3.0,
D.Va,에코,상성,딜러,-1.0,
D.Va,엠레,상성,딜러,3.0,
D.Va,프레야,상성,딜러,3.0,
D.Va,겐지,상성,딜러,0.0,
D.Va,한조,상성,딜러,2.0,
D.Va,정크랫,상성,딜러,0.0,
D.Va,메이,상성,딜러,-3.0,
D.Va,파라,상성,딜러,3.0,
D.Va,리퍼,상성,딜러,0.0,
D.Va,시온,상성,딜러,2.0,
D.Va,시에라,상성,딜러,2.0,
D.Va,소전,상성,딜러,1.0,
D.Va,솔저: 76,상성,딜러,0.0,
D.Va,솜브라,상성,딜러,-2.0,
D.Va,시메트라,상성,딜러,-3.0,
D.Va,토르비욘,상성,딜러,-1.0,
D.Va,트레이서,상성,딜러,3.0,
D.Va,벤데타,상성,딜러,-3.0,
D.Va,벤처,상성,딜러,-3.0,
D.Va,위도우메이커,상성,딜러,2.0,
D.Va,아나,상성,힐러,3.0,
D.Va,바티스트,상성,힐러,-1.0,
D.Va,브리기테,상성,힐러,-3.0,
D.Va,일리아리,상성,힐러,3.0,
D.Va,제트팩 캣,상성,힐러,2.0,
D.Va,주노,상성,힐러,3.0,
D.Va,키리코,상성,힐러,1.0,
D.Va,라이프위버,상성,힐러,0.0,
D.Va,루시우,상성,힐러,0.0,
D.Va,메르시,상성,힐러,3.0,
D.Va,미즈키,상성,힐러,-2.0,
D.Va,모이라,상성,힐러,3.0,
D.Va,우양,상성,힐러,0.0,
D.Va,젠야타,상성,힐러,0.0,
도미나,D.Mon,상성,탱커,-3.0,
도미나,D.Va,상성,탱커,1.0,
도미나,둠피스트,상성,탱커,-3.0,
도미나,해저드,상성,탱커,0.0,
도미나,정커퀸,상성,탱커,1.0,
도미나,마우가,상성,탱커,-2.0,
도미나,오리사,상성,탱커,-2.5,
